,Home,Home_Score,Away,Away_Score,Datetime,Stadium
0,두산,6,한화,4,2022-04-02 14:00:00,잠실
1,NC,0,SSG,4,2022-04-02 14:00:00,창원
2,KT,4,삼성,1,2022-04-02 14:00:00,수원
3,KIA,0,LG,9,2022-04-02 14:00:00,광주
4,키움,2,롯데,7,2022-04-02 14:00:00,고척
5,두산,1,한화,0,2022-04-03 14:00:00,잠실
6,NC,1,SSG,4,2022-04-03 14:00:00,창원
7,KT,5,삼성,6,2022-04-03 14:00:00,수원
8,KIA,2,LG,3,2022-04-03 14:00:00,광주
9,키움,4,롯데,3,2022-04-03 14:00:00,고척
10,두산,5,삼성,6,2022-04-05 18:30:00,잠실
11,NC,1,롯데,5,2022-04-05 18:30:00,창원
12,KT,5,SSG,8,2022-04-05 18:30:00,수원
13,KIA,4,한화,3,2022-04-05 18:30:00,광주
14,키움,4,LG,8,2022-04-05 18:30:00,고척
15,두산,1,삼성,7,2022-04-06 18:30:00,잠실
16,NC,5,롯데,0,2022-04-06 18:30:00,창원
17,KT,0,SSG,3,2022-04-06 18:30:00,수원
18,KIA,7,한화,4,2022-04-06 18:30:00,광주
19,키움,1,LG,2,2022-04-06 18:30:00,고척
20,두산,6,삼성,5,2022-04-07 18:30:00,잠실
21,NC,1,롯데,2,2022-04-07 18:30:00,창원
22,KT,3,SSG,4,2022-04-07 18:30:00,수원
23,KIA,6,한화,2,2022-04-07 18:30:00,광주
24,키움,0,LG,6,2022-04-07 18:30:00,고척
25,LG,1,NC,4,2022-04-08 18:30:00,잠실
26,SSG,3,KIA,0,2022-04-08 18:30:00,문학
27,롯데,1,두산,6,2022-04-08 18:30:00,사직
28,삼성,0,키움,1,2022-04-08 18:30:00,대구
29,한화,2,KT,4,2022-04-08 18:30:00,대전
30,LG,7,NC,6,2022-04-09 17:00:00,잠실
31,SSG,9,KIA,5,2022-04-09 17:00:00,문학
32,롯데,5,두산,4,2022-04-09 17:00:00,사직
33,삼성,0,키움,3,2022-04-09 17:00:00,대구
34,한화,7,KT,1,2022-04-09 17:00:00,대전
35,LG,5,NC,3,2022-04-10 14:00:00,잠실
36,SSG,11,KIA,2,2022-04-10 14:00:00,문학
37,롯데,3,두산,4,2022-04-10 14:00:00,사직
38,삼성,5,키움,6,2022-04-10 14:00:00,대구
39,한화,6,KT,4,2022-04-10 14:00:00,대전
40,LG,1,SSG,4,2022-04-12 18:30:00,잠실
41,삼성,2,한화,0,2022-04-12 18:30:00,대구
42,KT,1,두산,3,2022-04-12 18:30:00,수원
43,KIA,6,롯데,5,2022-04-12 18:30:00,광주
44,키움,10,NC,0,2022-04-12 18:30:00,고척
45,LG,2,SSG,4,2022-04-13 18:30:00,잠실
46,삼성,12,한화,1,2022-04-13 18:30:00,대구
47,키움,5,NC,4,2022-04-13 18:30:00,고척
48,LG,5,SSG,1,2022-04-14 18:30:00,잠실
49,삼성,8,한화,3,2022-04-14 18:30:00,대구
50,KT,4,두산,5,2022-04-14 18:30:00,수원
51,KIA,2,롯데,3,2022-04-14 18:30:00,광주
52,키움,1,NC,0,2022-04-14 18:30:00,고척
53,두산,2,키움,4,2022-04-15 18:30:00,잠실
54,SSG,5,삼성,0,2022-04-15 18:30:00,문학
55,롯데,9,KT,7,2022-04-15 18:30:00,사직
56,NC,5,KIA,0,2022-04-15 18:30:00,창원
57,한화,7,LG,3,2022-04-15 18:30:00,대전
58,SSG,6,삼성,2,2022-04-16 14:00:00,문학
59,두산,4,키움,1,2022-04-16 17:00:00,잠실
60,롯데,0,KT,8,2022-04-16 17:00:00,사직
61,NC,0,KIA,14,2022-04-16 17:00:00,창원
62,한화,2,LG,6,2022-04-16 17:00:00,대전
63,두산,2,키움,6,2022-04-17 14:00:00,잠실
64,SSG,7,삼성,5,2022-04-17 14:00:00,문학
65,롯데,3,KT,0,2022-04-17 14:00:00,사직
66,NC,3,KIA,4,2022-04-17 14:00:00,창원
67,한화,7,LG,8,2022-04-17 14:00:00,대전
68,LG,0,KT,5,2022-04-19 18:30:00,잠실
69,SSG,5,키움,8,2022-04-19 18:30:00,문학
70,롯데,2,한화,6,2022-04-19 18:30:00,사직
71,NC,11,삼성,8,2022-04-19 18:30:00,창원
72,KIA,6,두산,3,2022-04-19 18:30:00,광주
73,LG,3,KT,5,2022-04-20 18:30:00,잠실
74,SSG,6,키움,1,2022-04-20 18:30:00,문학
75,롯데,7,한화,0,2022-04-20 18:30:00,사직
76,NC,3,삼성,0,2022-04-20 18:30:00,창원
77,KIA,3,두산,4,2022-04-20 18:30:00,광주
78,LG,2,KT,6,2022-04-21 18:30:00,잠실
79,SSG,4,키움,2,2022-04-21 18:30:00,문학
80,롯데,6,한화,7,2022-04-21 18:30:00,사직
81,NC,3,삼성,10,2022-04-21 18:30:00,창원
82,KIA,1,두산,2,2022-04-21 18:30:00,광주
83,두산,1,LG,5,2022-04-22 18:30:00,잠실
84,삼성,2,롯데,8,2022-04-22 18:30:00,대구
85,KT,4,NC,3,2022-04-22 18:30:00,수원
86,키움,4,KIA,5,2022-04-22 18:30:00,고척
87,한화,2,SSG,0,2022-04-22 18:30:00,대전
88,키움,3,KIA,1,2022-04-23 14:00:00,고척
89,두산,4,LG,2,2022-04-23 17:00:00,잠실
90,삼성,2,롯데,4,2022-04-23 17:00:00,대구
91,KT,4,NC,3,2022-04-23 17:00:00,수원
92,한화,9,SSG,2,2022-04-23 17:00:00,대전
93,두산,0,LG,5,2022-04-24 14:00:00,잠실
94,삼성,4,롯데,7,2022-04-24 14:00:00,대구
95,KT,1,NC,2,2022-04-24 14:00:00,수원
96,키움,2,KIA,14,2022-04-24 14:00:00,고척
97,한화,1,SSG,3,2022-04-24 14:00:00,대전
98,두산,8,NC,4,2022-04-26 18:30:00,잠실
99,롯데,1,SSG,8,2022-04-26 18:30:00,사직
100,삼성,7,LG,4,2022-04-26 18:30:00,대구
101,KT,5,KIA,10,2022-04-26 18:30:00,수원
102,한화,5,키움,2,2022-04-26 18:30:00,대전
103,두산,6,NC,5,2022-04-27 18:30:00,잠실
104,롯데,1,SSG,1,2022-04-27 18:30:00,사직
105,삼성,0,LG,7,2022-04-27 18:30:00,대구
106,KT,3,KIA,1,2022-04-27 18:30:00,수원
107,한화,0,키움,7,2022-04-27 18:30:00,대전
108,두산,5,NC,9,2022-04-28 18:30:00,잠실
109,롯데,4,SSG,1,2022-04-28 18:30:00,사직
110,삼성,4,LG,6,2022-04-28 18:30:00,대구
111,KT,5,KIA,3,2022-04-28 18:30:00,수원
112,한화,1,키움,3,2022-04-28 18:30:00,대전
113,LG,4,롯데,9,2022-04-29 18:30:00,잠실
114,SSG,8,두산,7,2022-04-29 18:30:00,문학
115,NC,9,한화,4,2022-04-29 18:30:00,창원
