,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score,Expected_Total_Score,Actually-Expected
0,두산,6,한화,4,2022-04-02 14:00:00,잠실,서울,13.7,10,8.347222222222221,1.6527777777777786
1,NC,0,SSG,4,2022-04-02 14:00:00,창원,창원,12.9,4,9.48611111111111,-5.486111111111111
2,KT,4,삼성,1,2022-04-02 14:00:00,수원,수원,12.5,5,8.98611111111111,-3.9861111111111107
3,KIA,0,LG,9,2022-04-02 14:00:00,광주,광주,14.7,9,9.965277777777779,-0.9652777777777786
4,키움,2,롯데,7,2022-04-02 14:00:00,고척,서울,13.7,9,8.51388888888889,0.4861111111111107
5,두산,1,한화,0,2022-04-03 14:00:00,잠실,서울,16.3,1,8.347222222222221,-7.347222222222221
6,NC,1,SSG,4,2022-04-03 14:00:00,창원,창원,15.4,5,9.48611111111111,-4.486111111111111
7,KT,5,삼성,6,2022-04-03 14:00:00,수원,수원,15.0,11,8.98611111111111,2.0138888888888893
8,KIA,2,LG,3,2022-04-03 14:00:00,광주,광주,17.5,5,9.965277777777779,-4.965277777777779
9,키움,4,롯데,3,2022-04-03 14:00:00,고척,서울,16.3,7,8.51388888888889,-1.5138888888888893
10,두산,5,삼성,6,2022-04-05 18:30:00,잠실,서울,11.4,11,9.034722222222221,1.9652777777777786
11,NC,1,롯데,5,2022-04-05 18:30:00,창원,창원,12.3,6,8.6875,-2.6875
12,KT,5,SSG,8,2022-04-05 18:30:00,수원,수원,11.3,13,9.381944444444445,3.6180555555555554
13,KIA,4,한화,3,2022-04-05 18:30:00,광주,광주,12.4,7,8.916666666666666,-1.916666666666666
14,키움,4,LG,8,2022-04-05 18:30:00,고척,서울,11.4,12,9.277777777777779,2.7222222222222214
15,두산,1,삼성,7,2022-04-06 18:30:00,잠실,서울,11.9,8,9.034722222222221,-1.0347222222222214
16,NC,5,롯데,0,2022-04-06 18:30:00,창원,창원,13.7,5,8.6875,-3.6875
17,KT,0,SSG,3,2022-04-06 18:30:00,수원,수원,10.0,3,9.381944444444445,-6.381944444444445
18,KIA,7,한화,4,2022-04-06 18:30:00,광주,광주,13.3,11,8.916666666666666,2.083333333333334
19,키움,1,LG,2,2022-04-06 18:30:00,고척,서울,11.9,3,9.277777777777779,-6.277777777777779
