,지점,지점명,일시,기온(°C)
0,108,서울,2022-04-01 15:00:00,14.6
1,108,서울,2022-04-01 18:00:00,12.4
2,108,서울,2022-04-01 20:00:00,8.7
3,108,서울,2022-04-02 15:00:00,13.7
4,108,서울,2022-04-02 18:00:00,11.0
5,108,서울,2022-04-02 20:00:00,8.1
6,108,서울,2022-04-03 15:00:00,16.3
7,108,서울,2022-04-03 18:00:00,14.5
8,108,서울,2022-04-03 20:00:00,10.0
9,108,서울,2022-04-04 15:00:00,16.2
10,108,서울,2022-04-04 18:00:00,13.5
11,108,서울,2022-04-04 20:00:00,10.2
12,108,서울,2022-04-05 15:00:00,15.2
13,108,서울,2022-04-05 18:00:00,13.3
14,108,서울,2022-04-05 20:00:00,11.4
15,108,서울,2022-04-06 15:00:00,16.5
16,108,서울,2022-04-06 18:00:00,14.8
17,108,서울,2022-04-06 20:00:00,11.9
18,108,서울,2022-04-07 15:00:00,14.8
19,108,서울,2022-04-07 18:00:00,12.2
20,108,서울,2022-04-07 20:00:00,9.4
21,108,서울,2022-04-08 15:00:00,19.6
22,108,서울,2022-04-08 18:00:00,18.4
23,108,서울,2022-04-08 20:00:00,15.4
24,108,서울,2022-04-09 15:00:00,24.1
25,108,서울,2022-04-09 18:00:00,21.4
26,108,서울,2022-04-09 20:00:00,18.5
27,108,서울,2022-04-10 15:00:00,25.0
28,108,서울,2022-04-10 18:00:00,21.6
29,108,서울,2022-04-10 20:00:00,17.7
30,108,서울,2022-04-11 15:00:00,26.4
31,108,서울,2022-04-11 18:00:00,24.4
32,108,서울,2022-04-11 20:00:00,20.6
33,108,서울,2022-04-12 15:00:00,26.1
34,108,서울,2022-04-12 18:00:00,17.9
35,108,서울,2022-04-12 20:00:00,17.0
36,108,서울,2022-04-13 15:00:00,12.2
37,108,서울,2022-04-13 18:00:00,12.3
38,108,서울,2022-04-13 20:00:00,12.2
39,108,서울,2022-04-14 15:00:00,15.1
40,108,서울,2022-04-14 18:00:00,15.0
41,108,서울,2022-04-14 20:00:00,13.4
42,108,서울,2022-04-15 15:00:00,18.9
43,108,서울,2022-04-15 18:00:00,16.2
44,108,서울,2022-04-15 20:00:00,14.0
